F1::#!!I,F2::Tool,F3::Feature,F4::Unit,F5::Value,,,,,
,,,,,,,,,
1,Line,Length,Pixel,130,,,,,
2,Line,Length,Pixel,219.04,,,,,
3,Line,Length,Pixel,64,,,,,
4,Line,Length,Pixel,32,,,,,
5,Line,Length,Pixel,48,,,,,
6,Line,Length,Pixel,28.07,,,,,
7,Line,Length,Pixel,24.08,,,,,
8,Line,Length,Pixel,40,,,,,
9,Line,Length,Pixel,38,,,,,
10,Line,Length,Pixel,34.13,,,,,
11,Line,Length,Pixel,68,,,,,
12,Line,Length,Pixel,64.07,,,,,
13,Length,Distance,Pixel,38.12,,,,,
14,Multiple Calipers,Distances0001,Pixel,,21,50,,,
,,,,,,,,,
15,Line,Length,Pixel,58.08,,,,,
16,Line,Length,Pixel,84.05,,,,,
17,Multiple Calipers,Distances0001,Pixel,,25,66,,,
,,,,,,,,,
18,Multiple Calipers,Distances0001,Pixel,,31,82,,,
,,,,,,,,,
19,Line,Length,Pixel,42.01,,,,,
20,Length,Distance,Pixel,69.03,,,,,
21,Multiple Calipers,Distances0001,Pixel,,28.27,61.69,,,
,,,,,,,,,
22,Multiple Calipers,Distances0001,Pixel,,37,91,,,
,,,,,,,,,
23,Length,Distance,Pixel,35,,,,,
24,Length,Distance,Pixel,43.1,,,,,
25,Length,Distance,Pixel,128.39,,,,,
26,Multiple Calipers,Distances0001,Pixel,,23,69,94,,
,,,,,,,,,
,,,,,,,,,
1,Multiple Calipers,Distances0001,Pixel,,47.6,85.05,,,
,,,,,,,,,
2,Multiple Distance,Distances0001,Pixel,,20,62,105,,
,,,,,,,,,
,,,,,,,,,
3,Line,Length,Pixel,131,,,,,
4,Line,Length,Pixel,57.01,,,,,
5,Line,Length,Pixel,44.55,,,,,
6,Line,Length,Pixel,46,,,,,
7,Multiple Calipers,Distances0001,Pixel,,21,79,,,
,,,,,,,,,
8,Multiple Calipers,Distances0001,Pixel,,18,68,,,
,,,,,,,,,
9,Multiple Calipers,Distances0001,Pixel,,68,131,,,
,,,,,,,,,
10,Line,Length,Pixel,26.68,,,,,
11,Length,Distance,Pixel,101.08,,,,,
12,Line,Length,Pixel,51,,,,,
13,Multiple Calipers,Distances0001,Pixel,,35.66,180.29,,,
,,,,,,,,,
14,Line,Length,Pixel,92.02,,,,,
15,Line,Length,Pixel,47.01,,,,,
16,Line,Length,Pixel,78.03,,,,,
17,Multiple Calipers,Distances0001,Pixel,,88,155,,,
,,,,,,,,,
18,Multiple Calipers,Distances0001,Pixel,,38,106,135,,
,,,,,,,,,
,,,,,,,,,
19,Length,Distance,Pixel,35,,,,,
20,Multiple Calipers,Distances0001,Pixel,,33,123,,,
,,,,,,,,,
21,Line,Length,Pixel,48,,,,,
22,Multiple Calipers,Distances0001,Pixel,,29,82,,,
,,,,,,,,,
23,Multiple Calipers,Distances0001,Pixel,,67,114,,,
,,,,,,,,,
24,Multiple Calipers,Distances0001,Pixel,,59,132,,,
,,,,,,,,,
25,Line,Length,Pixel,50,,,,,
26,Multiple Calipers,Distances0001,Pixel,,100,125,,,
,,,,,,,,,
27,Multiple Calipers,Distances0001,Pixel,,25,142,,,
,,,,,,,,,
1,Multiple Calipers,Distances0001,Pixel,,82,182,,,
,,,,,,,,,
2,Line,Length,Pixel,41,,,,,
3,Line,Length,Pixel,36,,,,,
4,Multiple Calipers,Distances0001,Pixel,,45.71,96.6,,,
,,,,,,,,,
5,Line,Length,Pixel,100.32,,,,,
6,Line,Length,Pixel,50.04,,,,,
7,Multiple Calipers,Distances0001,Pixel,,22,144,,,
,,,,,,,,,
8,Length,Distance,Pixel,67.01,,,,,
9,Length,Distance,Pixel,47.85,,,,,
10,Multiple Calipers,Distances0001,Pixel,,9.7,46.52,,,
,,,,,,,,,
11,Line,Length,Pixel,49.01,,,,,
12,Multiple Distance,Distances0001,Pixel,,115,187,293,,
,,,,,,,,,
,,,,,,,,,
13,Multiple Calipers,Distances0001,Pixel,,46,88,,,
,,,,,,,,,
14,Line,Length,Pixel,73.17,,,,,
15,Line,Length,Pixel,58.22,,,,,
16,Multiple Calipers,Distances0001,Pixel,,37,149,,,
,,,,,,,,,
17,Multiple Calipers,Distances0001,Pixel,,59.72,144.44,,,
,,,,,,,,,
18,Multiple Distance,Distances0001,Pixel,,55,94,135,,
,,,,,,,,,
,,,,,,,,,
19,Line,Length,Pixel,87.3,,,,,
20,Multiple Calipers,Distances0001,Pixel,,63,111,,,
,,,,,,,,,
21,Multiple Calipers,Distances0001,Pixel,,22.4,110.61,,,
,,,,,,,,,
22,Line,Length,Pixel,74.06,,,,,
23,Multiple Calipers,Distances0001,Pixel,,42.29,126.94,,,
,,,,,,,,,
24,Line,Length,Pixel,62,,,,,
25,Line,Length,Pixel,115.02,,,,,
26,Multiple Calipers,Distances0001,Pixel,,42,126,,,
,,,,,,,,,
27,Multiple Calipers,Distances0001,Pixel,,26,69,,,
,,,,,,,,,
28,Line,Length,Pixel,50,,,,,
29,Multiple Calipers,Distances0001,Pixel,,10,71,,,
,,,,,,,,,
30,Line,Length,Pixel,68.12,,,,,
31,Multiple Calipers,Distances0001,Pixel,,22,76,114,,
,,,,,,,,,
,,,,,,,,,
32,Multiple Calipers,Distances0001,Pixel,,89,143,,,
,,,,,,,,,
33,Line,Length,Pixel,36.22,,,,,
34,Line,Length,Pixel,28.07,,,,,
35,Multiple Calipers,Distances0001,Pixel,,41,61,,,
,,,,,,,,,
1,Multiple Calipers,Distances0001,Pixel,,58,90,,,
,,,,,,,,,
2,Multiple Calipers,Distances0001,Pixel,,79.43,129.13,,,
,,,,,,,,,
3,Line,Length,Pixel,47,,,,,
4,Line,Length,Pixel,100.02,,,,,
5,Line,Length,Pixel,48,,,,,
6,Line,Length,Pixel,36,,,,,
7,Line,Length,Pixel,30,,,,,
8,Line,Length,Pixel,152.41,,,,,
9,Line,Length,Pixel,90.67,,,,,
10,Multiple Calipers,Distances0001,Pixel,,21,73,,,
,,,,,,,,,
11,Multiple Calipers,Distances0001,Pixel,,39.47,91.53,,,
,,,,,,,,,
12,Multiple Calipers,Distances0001,Pixel,,23,91,129,,
,,,,,,,,,
,,,,,,,,,
13,Line,Length,Pixel,79.23,,,,,
14,Length,Distance,Pixel,75.01,,,,,
15,Multiple Calipers,Distances0001,Pixel,,15.96,62.34,,,
,,,,,,,,,
16,Multiple Calipers,Distances0001,Pixel,,28.05,49.55,74.19,188.11,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
17,Multiple Calipers,Distances0001,Pixel,,38,124,,,
,,,,,,,,,
18,Line,Length,Pixel,96.13,,,,,
19,Line,Length,Pixel,65,,,,,
20,Line,Length,Pixel,128.04,,,,,
21,Line,Length,Pixel,49.09,,,,,
22,Multiple Calipers,Distances0001,Pixel,38,38,117,,,
,,,,,,,,,
23,Length,Distance,Pixel,44,,,,,
24,Multiple Calipers,Distances0001,Pixel,,54,92,,,
,,,,,,,,,
25,Line,Length,Pixel,55,,,,,
26,Line,Length,Pixel,32,,,,,
27,Multiple Calipers,Distances0001,Pixel,,35.51,81.79,,,
,,,,,,,,,
28,Line,Length,Pixel,46,,,,,
29,Line,Length,Pixel,67,,,,,
30,Line,Length,Pixel,67,,,,,
31,Line,Length,Pixel,88.2,,,,,
32,Line,Length,Pixel,76,,,,,
33,Line,Length,Pixel,69.03,,,,,
34,Multiple Calipers,Distances0001,Pixel,,41.49,83.05,,,
,,,,,,,,,
35,Line,Length,Pixel,50,,,,,
36,Line,Length,Pixel,36.06,,,,,
37,Line,Length,Pixel,52.04,,,,,
38,Multiple Calipers,Distances0001,Pixel,,53,117,,,
,,,,,,,,,
39,Multiple Calipers,Distances0001,Pixel,,21,97,,,
,,,,,,,,,
40,Multiple Calipers,Distances0001,Pixel,,46,158,189,,
,,,,,,,,,
,,,,,,,,,
1,Length,Distance,Pixel,73,,,,,
2,Line,Length,Pixel,63,,,,,
3,Multiple Calipers,Distances0001,Pixel,,35,163,,,
,,,,,,,,,
4,Line,Length,Pixel,71,,,,,
5,Length,Distance,Pixel,52,,,,,
6,Line,Length,Pixel,111.16,,,,,
7,Line,Length,Pixel,70.26,,,,,
8,Line,Length,Pixel,61.03,,,,,
9,Multiple Distance,Distances0001,Pixel,,26,67,157,,
,,,,,,,,,
,,,,,,,,,
10,Length,Distance,Pixel,75.01,,,,,
11,Length,Distance,Pixel,47.01,,,,,
12,Length,Distance,Pixel,120,,,,,
13,Length,Distance,Pixel,54.15,,,,,
14,Multiple Calipers,Distances0001,Pixel,,36.22,52.68,73.22,115.95,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
15,Line,Length,Pixel,69.03,,,,,
16,Line,Length,Pixel,52.24,,,,,
17,Line,Length,Pixel,38,,,,,
18,Multiple Calipers,Distances0001,Pixel,,21,53,,,
,,,,,,,,,
19,Multiple Calipers,Distances0001,Pixel,,39,73,,,
,,,,,,,,,
20,Line,Length,Pixel,29,,,,,
21,Length,Distance,Pixel,38.01,,,,,
22,Multiple Calipers,Distances0001,Pixel,,70.73,203.93,,,
,,,,,,,,,
23,Multiple Calipers,Distances0001,Pixel,,51,121,,,
,,,,,,,,,
24,Multiple Calipers,Distances0001,Pixel,,39.32,97.58,,,
,,,,,,,,,
25,Multiple Calipers,Distances0001,Pixel,,57,119,,,
,,,,,,,,,
26,Line,Length,Pixel,35,,,,,
27,Length,Distance,Pixel,41.59,,,,,
28,Multiple Calipers,Distances0001,Pixel,,30.85,136.23,,,
,,,,,,,,,
29,Multiple Calipers,Distances0001,Pixel,,36,101,,,
,,,,,,,,,
30,Multiple Calipers,Distances0001,Pixel,,88,130,,,
,,,,,,,,,
31,Multiple Calipers,Distances0001,Pixel,,36,99,,,
,,,,,,,,,
32,Multiple Distance,Distances0001,Pixel,,21,83,115,,
,,,,,,,,,
,,,,,,,,,
33,Multiple Calipers,Distances0001,Pixel,,17,76,,,
,,,,,,,,,
34,Line,Length,Pixel,150,,,,,
35,Line,Length,Pixel,89.02,,,,,
36,Line,Length,Pixel,38.05,,,,,
37,Multiple Calipers,Distances0001,Pixel,,16.22,59.01,,,
,,,,,,,,,
38,Multiple Calipers,Distances0001,Pixel,,43.02,80.05,,,
,,,,,,,,,
39,Multiple Calipers,Distances0001,Pixel,,14.96,62.77,,,
,,,,,,,,,
40,Line,Length,Pixel,43,,,,,
41,Multiple Calipers,Distances0001,Pixel,,17,46,,,
,,,,,,,,,
42,Line,Length,Pixel,63,,,,,
43,Line,Length,Pixel,173.14,,,,,
44,Line,Length,Pixel,110.04,,,,,
45,Line,Length,Pixel,68.01,,,,,
46,Line,Length,Pixel,37.05,,,,,
1,Multiple Calipers,Distances0001,Pixel,,59.47,163.16,,,
,,,,,,,,,
2,Multiple Calipers,Distances0001,Pixel,,61,154,,,
,,,,,,,,,
3,Multiple Calipers,Distances0001,Pixel,,90,200,,,
,,,,,,,,,
4,Multiple Calipers,Distances0001,Pixel,,127.02,152.74,,,
,,,,,,,,,
5,Multiple Calipers,Distances0001,Pixel,,43,107,,,
,,,,,,,,,
6,Multiple Calipers,Distances0001,Pixel,,68,100,,,
,,,,,,,,,
7,Multiple Calipers,Distances0001,Pixel,,33,97,,,
,,,,,,,,,
8,Multiple Calipers,Distances0001,Pixel,,16,45,,,
,,,,,,,,,
9,Multiple Calipers,Distances0001,Pixel,,34,110,,,
,,,,,,,,,
10,Line,Length,Pixel,74.01,,,,,
11,Line,Length,Pixel,44.1,,,,,
12,Line,Length,Pixel,65.07,,,,,
13,Line,Length,Pixel,128,,,,,
14,Line,Length,Pixel,83.01,,,,,
15,Line,Length,Pixel,40.05,,,,,
16,Multiple Calipers,Distances0001,Pixel,,28,90,,,
,,,,,,,,,
17,Line,Length,Pixel,139.18,,,,,
18,Multiple Calipers,Distances0001,Pixel,,29,85,128,,
,,,,,,,,,
,,,,,,,,,
19,Multiple Calipers,Distances0001,Pixel,,27,91,,,
,,,,,,,,,
20,Line,Length,Pixel,126.02,,,,,
21,Line,Length,Pixel,33,,,,,
22,Line,Length,Pixel,53,,,,,
23,Line,Length,Pixel,47.17,,,,,
24,Line,Length,Pixel,67.27,,,,,
25,Line,Length,Pixel,100,,,,,
26,Line,Length,Pixel,56.29,,,,,
27,Line,Length,Pixel,82.01,,,,,
28,Line,Length,Pixel,56,,,,,
29,Line,Length,Pixel,28.16,,,,,
30,Line,Length,Pixel,52,,,,,
31,Line,Length,Pixel,31.58,,,,,
32,Multiple Calipers,Distances0001,Pixel,,19.75,39.37,,,
,,,,,,,,,
33,Line,Length,Pixel,38,,,,,
34,Line,Length,Pixel,43,,,,,
35,Length,Distance,Pixel,67.12,,,,,
36,Multiple Calipers,Distances0001,Pixel,,56.64,94.97,,,
,,,,,,,,,
37,Line,Length,Pixel,38,,,,,
38,Line,Length,Pixel,38.12,,,,,
39,Line,Length,Pixel,35,,,,,
40,Length,Distance,Pixel,59.03,,,,,
41,Length,Distance,Pixel,59.08,,,,,
42,Length,Distance,Pixel,73.03,,,,,
43,Length,Distance,Pixel,36,,,,,
44,Multiple Distance,Distances0001,Pixel,,42,140,,,
,,,,,,,,,
1,Multiple Calipers,Distances0001,Pixel,,52,91,,,
,,,,,,,,,
2,Line,Length,Pixel,50,,,,,
3,Length,Distance,Pixel,34,,,,,
4,Line,Length,Pixel,41,,,,,
5,Length,Distance,Pixel,87.14,,,,,
6,Line,Length,Pixel,161.05,,,,,
7,Multiple Calipers,Distances0001,Pixel,,47.84,153.06,,,
,,,,,,,,,
